"word","n"
"covid19",2496
"coronavirus",1511
"food",1331
"store",1008
"grocery",815
"stock",782
"people",774
"amp",575
"shopping",523
"supermarket",514
"online",508
"panic",482
"prices",431
"toilet",361
"paper",351
"buying",287
"local",245
"retail",236
"time",227
"home",225
"coronaviruspandemic",218
"shelves",213
"buy",212
"stores",206
"due",194
"consumer",185
"covid2019",178
"dont",176
"demand",165
"supplies",163
"coronaoutbreak",158
"virus",153
"2",148
"pandemic",148
"19",144
"stay",143
"covid",141
"hand",140
"water",138
"coronapocalypse",133
"empty",133
"im",133
"panicbuying",133
"day",123
"corona",118
"items",118
"health",113
"leave",108
"weeks",106
"shop",104
"stop",100
"delivery",97
"1",96
"sick",96
"market",95
"week",94
"days",91
"free",88
"world",86
"sanitizer",84
"safe",83
"oil",81
"workers",80
"elderly",79
"line",79
"supermarkets",79
"spread",78
"crisis",75
"customers",75
"lockdown",74
"3",73
"employees",73
"pasta",73
"supply",73
"business",71
"money",70
"products",70
"government",69
"outbreak",69
"groceries",68
"hoarding",67
"hours",67
"public",67
"call",66
"roll",66
"hands",65
"times",65
"care",64
"masks",64
"paid",64
"social",64
"months",62
"coronavirusupdate",61
"family",61
"lot",61
"schools",60
"avoid",59
"coronavirusoutbreak",59
"extra",59
"live",59
"crazy",58
"price",58
"tp",58
"amazon",57
"news",57
"check",55
"close",55
"left",55
"low",55
"canned",54
"closed",54
"pay",54
"remember",54
"stuff",54
"support",54
"taking",54
"bank",53
"companies",53
"situation",53
"staff",53
"country",52
"ppl",52
"quarantine",52
"amid",51
"bought",51
"toiletpaper",51
"banks",50
"china",50
"cleaning",50
"coming",50
"services",50
"stocking",50
"businesses",49
"fear",49
"soap",49
"5",48
"donate",48
"folks",48
"gas",48
"4",47
"eat",47
"life",47
"run",47
"testing",47
"wash",47
"youre",47
"global",46
"gonna",46
"worried",46
"travel",45
"trump",45
"economy",44
"march",44
"normal",44
"school",44
"impact",43
"retailers",43
"sanitizers",43
"hit",42
"increase",42
"media",42
"risk",42
"running",42
"start",42
"afford",41
"emergency",41
"hard",41
"lines",41
"month",41
"yesterday",41
"calm",40
"contact",40
"hope",40
"italy",40
"selling",40
"shoppers",40
"essentials",39
"morning",39
"share",39
"uk",39
"vulnerable",39
"closing",38
"coronavirusupdates",38
"person",38
"stocked",38
"community",37
"house",37
"ive",37
"americans",36
"list",36
"real",36
"rice",36
"shit",36
"ill",35
"markets",35
"shops",35
"wont",35
"yall",35
"healthy",34
"lots",34
"night",34
"read",34
"2020",33
